report_month,report_year,insurer_sno,insurer,category,premium_month_cr,premium_ytd_cr,premium_month_py_cr,premium_ytd_py_cr,premium_ytd_var_pct,policies_month,policies_ytd,policies_month_py,policies_ytd_py,policies_ytd_var_pct,source_file
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Yearly Renewable Premium,1.38,41.84,1.24,37.66,11.2,1.0,226.0,1.0,208.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Total,356.55,2807.09,320.9,2526.38,11.2,31650.0,280479.0,29118.0,258041.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Individual Single Premium,2.64,21.85,2.38,19.67,11.2,57.0,429.0,52.0,395.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Individual Non Single Premium,138.9,986.75,125.01,888.08,11.2,21044.0,186912.0,19360.0,171959.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Single Premium,133.58,1391.49,120.22,1252.34,11.2,4.0,31.0,4.0,29.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Yearly Renewable Premium,14.19,88.73,12.77,79.86,11.2,15.0,60.0,14.0,55.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,6.0,BAJAJ LIFE INSURANCE LIMITED,Total,290.65,2488.83,261.58,2239.95,11.2,20952.0,187432.0,19276.0,172437.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Single Premium,0.03,0.3,0.03,0.27,11.2,3.0,13.0,3.0,12.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Non Single Premium,0.91,18.15,0.82,16.34,11.2,487.0,7298.0,448.0,6714.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Single Premium,0.0,3.01,0.0,2.71,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Yearly Renewable Premium,4.71,10.61,4.24,9.55,11.2,15.0,43.0,14.0,40.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Total,5.41,32.07,4.87,28.86,11.2,475.0,7354.0,437.0,6766.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.71,44.46,2.44,40.01,11.2,20.0,1592.0,18.0,1465.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,30.33,229.75,27.3,206.78,11.2,5333.0,47842.0,4906.0,44015.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,7.41,55.42,6.67,49.88,11.2,1.0,6.0,1.0,6.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.11,1.44,0.1,1.3,11.2,1.0,2.0,1.0,2.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Total,42.13,331.07,37.92,297.96,11.2,5590.0,49441.0,5143.0,45486.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,24.24,208.6,21.82,187.74,11.2,141.0,1801.0,130.0,1657.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,59.58,368.27,53.62,331.44,11.2,8174.0,74825.0,7520.0,68839.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,7.05,344.91,6.34,310.42,11.2,1.0,5.0,1.0,5.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.24,1.62,0.22,1.46,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,2.25,79.22,2.02,71.3,11.2,4.0,33.0,4.0,30.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,9.0,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Total,96.01,1002.63,86.41,902.37,11.2,8545.0,76666.0,7861.0,70533.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.81,3.26,0.73,2.93,11.2,1158.0,1385.0,1065.0,1274.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,19.27,161.73,17.34,145.56,11.2,3119.0,32804.0,2869.0,30180.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Single Premium,1.17,5.98,1.05,5.38,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.75,1.56,0.68,1.4,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.44,2.69,0.4,2.42,11.2,2.0,16.0,2.0,15.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,11.0,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Total,23.44,175.21,21.1,157.69,11.2,4439.0,34205.0,4084.0,31469.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,5.18,38.24,4.66,34.42,11.2,54.0,546.0,50.0,502.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,30.37,230.05,27.33,207.04,11.2,7048.0,63845.0,6484.0,58737.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.05,0.3,0.05,0.27,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.91,7.98,0.82,7.18,11.2,1.0,12.0,1.0,11.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,4.78,25.33,4.3,22.8,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,12.0,EXIDE LIFE INSURANCE COMPANY LIMITED,Total,41.4,301.9,37.26,271.71,11.2,7108.0,64403.0,6539.0,59251.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.24,1.36,0.22,1.22,11.2,14.0,64.0,13.0,59.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,16.09,122.76,14.48,110.48,11.2,2407.0,21741.0,2214.0,20002.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,5.22,27.0,4.7,24.3,11.2,1.0,3.0,1.0,3.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,1.36,28.26,1.22,25.43,11.2,1.0,13.0,1.0,12.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,13.0,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Total,23.68,179.38,21.31,161.44,11.2,2495.0,21821.0,2295.0,20075.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,177.78,1593.84,160.0,1434.46,11.2,2225.0,18562.0,2047.0,17077.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,397.35,2899.59,357.62,2609.63,11.2,48496.0,419630.0,44616.0,386060.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,411.34,4239.58,370.21,3815.62,11.2,8.0,77.0,7.0,71.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,15.18,96.24,13.66,86.62,11.2,1.0,38.0,1.0,35.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,15.0,HDFC LIFE INSURANCE COMPANY LIMITED,Total,1021.5,8829.26,919.35,7946.33,11.2,51311.0,438307.0,47206.0,403242.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,189.01,1031.93,170.11,928.74,11.2,1873.0,11495.0,1723.0,10575.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,322.61,2128.88,290.35,1915.99,11.2,34103.0,276402.0,31375.0,254290.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,131.37,899.96,118.23,809.96,11.2,8.0,40.0,7.0,37.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,72.02,1193.61,64.82,1074.25,11.2,169.0,1300.0,155.0,1196.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,16.0,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Total,708.23,5254.38,637.41,4728.94,11.2,34909.0,289236.0,32116.0,266097.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.09,14.52,1.88,13.07,11.2,89.0,612.0,82.0,563.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,39.09,345.52,35.18,310.97,11.2,8615.0,82320.0,7926.0,75734.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Single Premium,38.99,509.88,35.09,458.89,11.2,10.0,91.0,9.0,84.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.03,0.24,0.03,0.22,11.2,1.0,2.0,1.0,2.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,17.0,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Total,81.13,870.15,73.02,783.14,11.2,8976.0,83024.0,8258.0,76382.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.49,24.54,2.24,22.09,11.2,73.0,710.0,67.0,653.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,45.36,380.51,40.82,342.46,11.2,9293.0,84512.0,8550.0,77751.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,7.36,55.22,6.62,49.7,11.2,1.0,14.0,1.0,13.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.25,5.22,0.22,4.7,11.2,3.0,26.0,3.0,24.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,18.0,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Total,56.5,465.46,50.85,418.91,11.2,9562.0,85262.0,8797.0,78441.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,66.68,445.21,60.01,400.69,11.2,3151.0,18052.0,2899.0,16608.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,93.1,623.56,83.79,561.2,11.2,13632.0,120069.0,12541.0,110463.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,66.76,383.27,60.08,344.94,11.2,9.0,93.0,8.0,86.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.03,0.28,0.03,0.25,11.2,1.0,8.0,1.0,7.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,60.19,469.11,54.17,422.2,11.2,25.0,306.0,23.0,282.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,19.0,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Total,277.91,1921.44,250.12,1729.3,11.2,16068.0,138528.0,14783.0,127446.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,6.16,44.59,5.54,40.13,11.2,109.0,655.0,100.0,603.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,76.72,573.96,69.05,516.56,11.2,12663.0,106767.0,11650.0,98226.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Group Single Premium,29.4,144.37,26.46,129.93,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.05,0.32,0.05,0.29,11.2,7.0,80.0,6.0,74.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,5.31,27.09,4.78,24.38,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,20.0,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Total,116.37,790.33,104.73,711.3,11.2,12606.0,107502.0,11598.0,98902.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Individual Single Premium,0.09,0.97,0.08,0.87,11.2,3.0,1161.0,3.0,1068.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Individual Non Single Premium,4.62,53.29,4.16,47.96,11.2,1470.0,12281.0,1352.0,11299.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Group Single Premium,7.67,35.62,6.9,32.06,11.2,1.0,6.0,1.0,6.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Group Yearly Renewable Premium,0.57,12.86,0.51,11.57,11.2,7.0,101.0,6.0,93.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,21.0,PRAMERICA LIFE INSURANCE LIMITED.,Total,13.06,102.75,11.75,92.48,11.2,1511.0,13549.0,1390.0,12465.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,22.0,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Total,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,23.0,SBI LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,127.67,1119.54,114.9,1007.59,11.2,2533.0,21166.0,2330.0,19473.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,23.0,SBI LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,679.6,4358.78,611.64,3922.9,11.2,99090.0,709823.0,91163.0,653037.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,23.0,SBI LIFE INSURANCE COMPANY LIMITED,Group Single Premium,258.67,3729.06,232.8,3356.15,11.2,6.0,75.0,6.0,69.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
